Sample,SBS1,SBS5,SBS10a,SBS10b,SBS15,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40,SBS44
ColoRect-AdenoCA::MSI-H.S.1,4908.957642979427,21531.589610643237,0.0,479.81133030660953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39930.70579868235
ColoRect-AdenoCA::MSI-H.S.2,18830.230943545386,18274.527357894065,0.0,0.0,3360.1265636698217,0.0,0.0,0.0,0.0,0.0,0.0,44827.40862583552
ColoRect-AdenoCA::MSI-H.S.3,13510.07419815888,10656.011169821124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41980.975283878695
ColoRect-AdenoCA::MSI-H.S.4,13331.931134212618,39685.290695097196,259.4859801163386,0.0,0.0,0.0,0.0,0.0,0.0,2374.9692907799836,5440.275961812224,34083.78233861509
ColoRect-AdenoCA::MSI-H.S.5,6667.088090909595,40122.15085873089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.2674610970157,0.0,58971.56767884651
ColoRect-AdenoCA::MSI-H.S.6,18397.110695361836,37122.77252642781,0.0,842.2770920384463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79854.537545657
ColoRect-AdenoCA::MSI-H.S.7,26447.634035980303,24345.119711863663,0.0,544.639294525621,0.0,0.0,0.0,0.0,0.0,0.0,3820.954789057533,40195.836377668005
ColoRect-AdenoCA::MSI-H.S.8,3493.6900925826317,45254.92907705546,0.0,0.0,0.0,0.0,0.0,0.0,547.2762162073664,11462.996394394071,0.0,66316.69246733564
ColoRect-AdenoCA::MSI-H.S.9,9411.479856595639,37619.110949070564,0.0,0.0,1708.1379421335062,0.0,0.0,0.0,0.0,0.0,3586.237416817869,70532.9406335055
ColoRect-AdenoCA::MSI-H.S.10,9800.512610385398,60356.70949586959,606.7857721725017,0.0,1966.2396274062562,0.0,0.0,0.0,435.3210548737493,3712.126065347363,0.0,43867.087136078895
ColoRect-AdenoCA::MSI-H.S.11,3231.572392194744,12684.265461946205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.4402061013761,0.0,7706.8974351116785
ColoRect-AdenoCA::MSI-H.S.12,19911.224176643944,34572.59673368576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89578.50850784437
ColoRect-AdenoCA::MSI-H.S.13,16104.26092682944,31781.57156115594,0.0,0.0,1128.7797497585086,840.4658524106285,0.0,0.0,0.0,0.0,0.0,39451.23533091005
ColoRect-AdenoCA::MSI-H.S.14,20504.59816129903,10644.046309351319,0.0,0.0,1946.4539608561072,0.0,0.0,0.0,0.0,0.0,0.0,24555.513000331342
ColoRect-AdenoCA::MSI-H.S.15,43265.45015668989,30209.615190138025,0.0,0.0,10273.463713768568,0.0,0.0,0.0,0.0,2048.22358728448,0.0,18591.24797697736
ColoRect-AdenoCA::MSI-H.S.16,3279.209048265867,23343.7725588279,0.0,0.0,16675.371088980093,0.0,0.0,0.0,0.0,32904.84100077763,0.0,70645.9625063318
