,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.1,0.0,0.0,0.0,0.0,7611.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.2,501.0,0.0,3231.0,10253.0,3655.0,6968.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.3,0.0,2316.0,0.0,50435.0,0.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.4,0.0,0.0,0.0,197563.0,16185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.5,0.0,0.0,0.0,50577.0,18703.0,0.0,0.0,0.0,0.0,9373.0,0.0,5320.0
Skin-Melanoma::S.6,3135.0,0.0,0.0,168306.0,54245.0,0.0,3507.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.7,0.0,0.0,0.0,135633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.8,0.0,39946.0,0.0,178708.0,64292.0,13575.0,2692.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.9,0.0,0.0,0.0,1540.0,16046.0,8335.0,6211.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.10,0.0,0.0,0.0,79576.0,23516.0,0.0,5663.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.11,271.0,0.0,8913.0,12634.0,4401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.12,0.0,2171.0,10594.0,0.0,51655.0,3415.0,0.0,0.0,0.0,0.0,0.0,5255.0
Skin-Melanoma::S.13,436.0,0.0,0.0,32265.0,11517.0,2267.0,5097.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.14,0.0,6402.0,10705.0,103682.0,6536.0,3777.0,16681.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.15,1128.0,0.0,4758.0,59661.0,15491.0,0.0,6422.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.16,225.0,2174.0,3939.0,9669.0,4255.0,931.0,2339.0,0.0,0.0,0.0,920.0,0.0
Skin-Melanoma::S.17,0.0,0.0,0.0,21852.0,1442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.18,0.0,0.0,5280.0,37954.0,2017.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.19,0.0,0.0,3228.0,1611.0,0.0,8486.0,0.0,192.0,0.0,0.0,0.0,2066.0
Skin-Melanoma::S.20,0.0,0.0,0.0,2348.0,13784.0,4940.0,3675.0,0.0,0.0,0.0,1619.0,0.0
Skin-Melanoma::S.21,0.0,2276.0,4375.0,34303.0,23044.0,6786.0,2265.0,0.0,0.0,0.0,0.0,0.0
