Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS37	SBS40	SBS41
Breast-AdenoCA::S.1	515	193	0	814	0	0	3817	0	0	937	0	0	0
Breast-AdenoCA::S.2	233	0	6024	2803	0	0	451	0	0	0	0	0	0
Breast-AdenoCA::S.3	274	401	0	709	0	0	854	0	0	0	0	0	0
Breast-AdenoCA::S.4	437	819	5209	1551	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.5	409	96	0	2923	0	0	1342	0	0	0	0	0	0
Breast-AdenoCA::S.6	665	5068	4624	1400	0	0	1509	0	0	0	0	0	0
Breast-AdenoCA::S.7	281	246	0	2789	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.8	697	509	1900	1234	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.9	244	0	3680	1960	0	0	0	0	0	0	0	6446	0
Breast-AdenoCA::S.10	256	733	3551	1032	0	0	308	0	0	0	0	0	0
Breast-AdenoCA::S.11	268	41	0	1732	0	0	460	0	0	0	0	0	0
Breast-AdenoCA::S.12	869	321	0	2287	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.13	276	4660	0	920	0	0	2387	0	0	0	0	0	0
Breast-AdenoCA::S.14	419	373	0	3935	0	0	1746	0	0	0	0	0	0
Breast-AdenoCA::S.15	644	6307	0	3106	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.16	297	0	0	921	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.17	668	250	0	1382	0	0	0	0	0	900	0	0	0
Breast-AdenoCA::S.18	184	118	0	2136	0	0	298	0	0	1126	0	0	0
Breast-AdenoCA::S.19	173	0	0	3723	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.20	224	0	2115	1342	0	0	215	0	0	0	0	0	0
Breast-AdenoCA::S.21	330	1114	0	3249	0	0	1017	0	0	0	0	0	0
Breast-AdenoCA::S.22	151	0	0	1802	0	707	0	0	0	0	0	0	0
Breast-AdenoCA::S.23	275	1547	3734	2467	0	0	3122	0	0	0	0	0	0
Breast-AdenoCA::S.24	540	3801	0	1348	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.25	434	1557	0	2113	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.26	220	1349	0	1913	0	0	2620	0	0	0	0	0	0
Breast-AdenoCA::S.27	935	687	0	3190	0	0	1292	0	0	0	0	0	0
Breast-AdenoCA::S.28	886	679	3975	2067	0	0	1914	0	0	0	0	0	0
Breast-AdenoCA::S.29	616	257	0	5513	0	0	888	0	0	0	0	0	0
Breast-AdenoCA::S.30	356	778	0	4802	0	0	2948	0	0	0	0	0	0
Breast-AdenoCA::S.31	415	416	0	2050	0	0	1298	0	0	0	0	0	0
Breast-AdenoCA::S.32	233	0	0	2798	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.33	531	0	0	1076	0	0	1346	0	0	0	0	0	0
Breast-AdenoCA::S.34	486	0	0	3122	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.35	171	31	0	1222	0	0	138	0	0	367	0	0	0
Breast-AdenoCA::S.36	60	573	4918	2146	0	0	1618	0	0	0	0	0	0
Breast-AdenoCA::S.37	391	3527	4923	1292	0	0	348	0	0	0	0	0	0
Breast-AdenoCA::S.38	858	0	0	917	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.39	232	0	0	4917	0	7772	6399	0	0	0	0	0	0
Breast-AdenoCA::S.40	374	287	0	1913	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.41	421	0	11380	3868	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.42	439	0	0	4498	0	0	0	0	0	722	0	0	0
Breast-AdenoCA::S.43	232	77	3006	588	0	0	598	0	0	0	0	0	0
Breast-AdenoCA::S.44	469	4881	0	2994	0	0	571	0	0	0	0	0	0
Breast-AdenoCA::S.45	518	0	0	914	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.46	321	1061	4546	4562	0	0	759	0	0	0	0	0	0
Breast-AdenoCA::S.47	782	149	4861	894	0	0	338	0	0	0	0	0	0
Breast-AdenoCA::S.48	639	517	3306	1912	0	0	1918	0	0	1127	0	0	0
Breast-AdenoCA::S.49	223	8691	0	2682	0	0	3025	0	0	0	0	0	0
Breast-AdenoCA::S.50	471	1106	8651	1465	0	0	385	0	0	0	0	0	0
Breast-AdenoCA::S.51	131	800	0	3320	0	0	611	0	0	0	0	0	0
Breast-AdenoCA::S.52	438	5176	6138	2609	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.53	315	0	0	1903	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.54	391	2809	11265	885	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.55	431	1732	5986	975	0	0	1016	0	0	0	0	0	0
Breast-AdenoCA::S.56	243	193	0	1007	0	0	333	0	0	0	0	0	0
Breast-AdenoCA::S.57	418	429	0	1903	0	0	2279	0	0	0	0	0	0
Breast-AdenoCA::S.58	624	0	8036	1861	0	0	4711	0	0	0	0	0	0
Breast-AdenoCA::S.59	658	0	0	1845	0	0	1837	0	0	0	0	0	0
Breast-AdenoCA::S.60	397	1426	0	1981	0	0	10860	0	0	0	0	0	0
Breast-AdenoCA::S.61	748	426	0	1356	0	0	1320	426	2111	0	0	3017	0
Breast-AdenoCA::S.62	200	0	0	922	0	0	141	0	0	0	0	0	0
Breast-AdenoCA::S.63	279	762	3562	6181	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.64	195	2260	0	3699	0	0	2583	0	0	0	0	0	0
Breast-AdenoCA::S.65	261	598	0	391	0	0	6056	0	0	0	0	0	0
Breast-AdenoCA::S.66	702	1107	0	1824	0	0	2111	0	0	0	0	0	0
Breast-AdenoCA::S.67	550	956	5287	2168	0	0	2897	0	0	0	0	0	0
Breast-AdenoCA::S.68	267	814	1752	2183	0	0	170	0	0	0	0	0	0
Breast-AdenoCA::S.69	321	0	0	2359	0	0	6313	0	0	0	0	0	0
Breast-AdenoCA::S.70	922	0	0	2169	0	0	0	0	0	754	0	0	0
Breast-AdenoCA::S.71	570	1669	0	2773	0	0	1517	0	0	0	0	0	0
Breast-AdenoCA::S.72	957	174	0	1401	0	0	599	0	0	0	0	0	0
Breast-AdenoCA::S.73	589	116	0	484	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.74	604	3523	0	1261	0	0	10458	0	0	0	0	0	0
Breast-AdenoCA::S.75	187	0	0	3513	0	0	0	0	0	518	0	0	0
Breast-AdenoCA::S.76	545	0	0	7041	0	0	5729	0	0	0	0	0	0
Breast-AdenoCA::S.77	165	307	2447	1999	0	0	156	0	0	0	0	0	0
Breast-AdenoCA::S.78	298	845	0	1625	0	0	7245	0	0	0	0	0	0
Breast-AdenoCA::S.79	425	1842	0	1479	0	0	3279	0	0	0	0	0	0
Breast-AdenoCA::S.80	134	7511	0	3862	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.81	227	0	0	3311	0	0	4470	0	0	0	0	0	0
Breast-AdenoCA::S.82	383	0	0	0	0	0	7804	0	0	0	0	0	0
Breast-AdenoCA::S.83	283	1105	4042	3667	0	0	1812	0	0	0	0	0	0
Breast-AdenoCA::S.84	338	0	0	2266	0	0	0	0	0	387	0	0	0
Breast-AdenoCA::S.85	630	409	0	3393	2417	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.86	402	8339	0	0	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.87	170	0	10839	1671	0	0	2363	0	0	0	0	0	0
Breast-AdenoCA::S.88	523	9095	0	160	0	0	4204	0	0	0	0	0	0
Breast-AdenoCA::S.89	577	0	0	2098	0	0	0	0	0	689	0	0	0
Breast-AdenoCA::S.90	519	0	0	1035	0	3372	878	0	0	0	0	0	0
Breast-AdenoCA::S.91	398	4215	6991	2558	0	0	1890	0	0	0	0	0	0
Breast-AdenoCA::S.92	152	439	4082	2719	0	0	0	0	0	0	0	0	0
Breast-AdenoCA::S.93	351	1577	3221	4561	0	0	975	1163	0	0	0	0	0
Breast-AdenoCA::S.94	178	265	0	2729	0	0	507	0	0	608	0	0	0
Breast-AdenoCA::S.95	561	0	3708	1682	0	0	0	0	0	2123	0	0	0
Breast-AdenoCA::S.96	466	0	0	2913	0	0	2497	0	0	0	0	0	0
Breast-AdenoCA::S.97	315	534	0	1721	0	0	1192	0	0	0	0	0	0
Breast-AdenoCA::S.98	251	1687	0	811	0	0	173	0	0	0	0	0	0
Breast-AdenoCA::S.99	737	2543	0	4424	0	0	2284	0	0	0	0	0	0
Breast-AdenoCA::S.100	337	1014	0	2285	0	0	840	0	0	0	0	0	0
