Samples	SBS1	SBS2	SBS3	SBS4	SBS5	SBS9	SBS13	SBS17a	SBS17b	SBS18	SBS28	SBS40
Lung-AdenoCA::S.1	192	0	0	175896	26986	0	0	0	0	0	0	0
Lung-AdenoCA::S.2	340	3997	0	0	12245	0	0	0	0	0	0	0
Lung-AdenoCA::S.3	344	1833	0	0	21649	0	3261	0	0	3286	0	0
Lung-AdenoCA::S.4	94	902	0	0	6872	0	0	0	0	0	0	0
Lung-AdenoCA::S.5	250	5077	0	9535	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.6	769	0	0	39555	4541	0	0	0	0	0	0	0
Lung-AdenoCA::S.7	334	0	0	60377	7937	0	0	0	0	0	0	0
Lung-AdenoCA::S.8	432	0	0	90654	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.9	559	0	0	0	10994	0	5579	0	0	3233	0	0
Lung-AdenoCA::S.10	409	1578	0	43562	0	0	3841	0	0	0	0	0
Lung-AdenoCA::S.11	695	3437	0	0	0	0	0	0	0	3723	0	6598
Lung-AdenoCA::S.12	533	0	0	0	223	0	0	0	0	0	0	7624
Lung-AdenoCA::S.13	17	2536	0	27068	24798	0	0	0	0	8379	0	0
Lung-AdenoCA::S.14	245	2700	0	0	30272	0	8636	0	0	0	0	0
Lung-AdenoCA::S.15	936	3657	0	6301	14244	0	3315	0	0	0	0	0
Lung-AdenoCA::S.16	540	2017	0	0	6106	0	0	0	0	0	0	0
Lung-AdenoCA::S.17	471	5346	0	28051	23141	0	0	0	0	0	0	0
Lung-AdenoCA::S.18	113	0	0	24619	6928	0	0	0	0	0	0	0
Lung-AdenoCA::S.19	679	4109	6651	0	6996	0	0	0	0	0	0	0
Lung-AdenoCA::S.20	239	0	0	9050	0	0	2277	0	0	0	0	20529
Lung-AdenoCA::S.21	605	0	0	0	6858	0	0	0	0	0	0	0
Lung-AdenoCA::S.22	62	0	0	74131	13784	0	0	0	0	0	0	0
Lung-AdenoCA::S.23	382	0	0	0	13870	0	0	0	0	0	0	0
Lung-AdenoCA::S.24	1586	0	0	99521	12141	0	0	0	0	0	0	0
Lung-AdenoCA::S.25	522	3878	0	31057	0	0	0	0	0	0	0	14623
Lung-AdenoCA::S.26	1284	0	0	0	20336	0	0	0	3264	8099	0	0
Lung-AdenoCA::S.27	841	0	0	52917	11516	0	5146	0	0	0	0	0
Lung-AdenoCA::S.28	343	3623	0	42143	10012	0	0	0	0	0	0	0
Lung-AdenoCA::S.29	727	0	0	0	2193	0	0	917	0	0	0	4864
Lung-AdenoCA::S.30	141	0	0	20032	13385	0	2794	0	0	0	0	0
Lung-AdenoCA::S.31	354	0	0	30097	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.32	167	2377	0	0	19216	0	4667	0	0	0	0	0
Lung-AdenoCA::S.33	361	4817	0	0	10871	0	0	0	0	0	0	0
Lung-AdenoCA::S.34	215	0	0	0	14040	0	0	0	0	0	0	15396
Lung-AdenoCA::S.35	377	0	0	5728	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.36	1102	0	0	0	7672	0	5234	0	0	0	0	0
Lung-AdenoCA::S.37	99	0	0	0	15327	0	0	0	0	0	0	32740
Lung-AdenoCA::S.38	746	3608	0	39459	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.39	148	0	0	0	5562	0	0	0	0	0	0	7947
Lung-AdenoCA::S.40	174	0	0	0	41387	0	0	0	0	0	0	0
Lung-AdenoCA::S.41	260	0	0	9389	30958	0	0	0	0	0	0	0
Lung-AdenoCA::S.42	699	4203	0	0	5923	0	0	0	0	0	0	0
Lung-AdenoCA::S.43	619	0	0	0	8571	0	0	783	0	0	0	7892
Lung-AdenoCA::S.44	444	5589	0	39340	22805	0	0	0	0	0	0	0
Lung-AdenoCA::S.45	1356	0	0	0	5503	0	0	652	4320	0	0	9755
Lung-AdenoCA::S.46	215	956	0	0	3745	0	15471	0	0	0	0	0
Lung-AdenoCA::S.47	276	4194	0	27419	5037	0	0	0	0	0	0	0
Lung-AdenoCA::S.48	10	10654	0	0	7512	0	0	0	0	0	0	25619
Lung-AdenoCA::S.49	145	3912	0	0	19149	0	4992	0	0	0	0	0
Lung-AdenoCA::S.50	82	0	0	0	0	0	6361	0	0	0	0	0
Lung-AdenoCA::S.51	1001	886	0	0	7272	0	442	0	0	0	0	0
Lung-AdenoCA::S.52	285	3712	0	0	13755	0	0	0	0	0	0	0
Lung-AdenoCA::S.53	976	2652	0	21152	1782	0	0	0	0	0	0	0
Lung-AdenoCA::S.54	775	0	0	21477	4437	0	0	0	0	0	0	0
Lung-AdenoCA::S.55	0	0	0	52164	1285	0	0	0	0	0	0	0
Lung-AdenoCA::S.56	380	2859	0	107434	6209	0	23643	0	0	0	0	0
Lung-AdenoCA::S.57	95	0	0	0	0	0	2730	0	1353	0	0	26958
Lung-AdenoCA::S.58	821	0	0	0	5856	0	0	0	0	0	0	3633
Lung-AdenoCA::S.59	262	7066	0	0	951	0	0	0	0	0	0	0
Lung-AdenoCA::S.60	713	0	0	121313	0	0	0	0	0	0	0	0
Lung-AdenoCA::S.61	220	0	0	12225	24173	0	0	0	0	0	0	0
Lung-AdenoCA::S.62	990	0	0	20158	4282	0	3013	0	0	0	0	0
Lung-AdenoCA::S.63	78	0	0	0	21006	0	0	0	0	3292	0	0
Lung-AdenoCA::S.64	348	0	0	38161	23217	0	0	0	0	0	0	0
Lung-AdenoCA::S.65	426	4918	0	7646	0	0	1114	0	0	0	0	7152
Lung-AdenoCA::S.66	549	2394	0	12478	7607	0	2847	0	0	0	0	0
Lung-AdenoCA::S.67	381	7093	0	0	14534	0	0	0	0	0	0	0
Lung-AdenoCA::S.68	878	0	0	89879	13346	0	0	0	0	0	0	0
Lung-AdenoCA::S.69	494	7560	0	21706	4880	0	1599	0	0	0	0	0
Lung-AdenoCA::S.70	697	0	0	12162	7	0	0	0	0	0	0	0
Lung-AdenoCA::S.71	524	0	0	0	0	0	2668	0	0	0	0	19829
Lung-AdenoCA::S.72	144	1246	0	0	2875	0	2030	0	0	0	0	0
Lung-AdenoCA::S.73	378	0	0	31315	232	0	0	0	0	0	0	0
Lung-AdenoCA::S.74	0	9951	0	22206	18901	0	0	0	0	0	0	0
Lung-AdenoCA::S.75	457	0	0	19675	50614	0	0	0	0	0	0	0
Lung-AdenoCA::S.76	306	0	0	0	1031	0	0	0	0	0	0	0
Lung-AdenoCA::S.77	197	3986	0	43404	0	0	0	0	0	0	0	17373
Lung-AdenoCA::S.78	229	0	0	0	4925	0	0	0	0	0	0	5904
Lung-AdenoCA::S.79	698	313	0	0	7072	0	0	0	0	0	0	0
Lung-AdenoCA::S.80	141	0	0	0	2462	0	0	0	0	0	0	0
Lung-AdenoCA::S.81	143	0	0	30405	10132	0	0	0	0	0	0	0
Lung-AdenoCA::S.82	117	0	7764	13959	4603	0	3307	0	0	0	0	0
Lung-AdenoCA::S.83	282	0	5334	0	2890	0	8035	0	0	0	0	0
Lung-AdenoCA::S.84	1178	0	0	43826	0	0	0	0	0	0	0	17428
Lung-AdenoCA::S.85	507	1950	0	10353	6679	0	1613	0	0	0	0	0
Lung-AdenoCA::S.86	369	0	0	17056	1688	0	0	0	0	0	0	0
Lung-AdenoCA::S.87	384	0	4010	0	0	0	4422	0	0	0	0	0
Lung-AdenoCA::S.88	27	0	0	11305	1861	0	0	0	0	0	0	7135
Lung-AdenoCA::S.89	205	0	0	27313	0	0	0	0	0	0	0	12981
Lung-AdenoCA::S.90	830	0	0	0	7614	0	0	0	0	0	0	0
Lung-AdenoCA::S.91	872	0	0	2240	1410	0	0	0	0	0	0	0
Lung-AdenoCA::S.92	230	2985	0	42449	5874	0	0	0	0	0	0	0
Lung-AdenoCA::S.93	357	2739	0	45650	5926	0	0	0	0	0	0	0
Lung-AdenoCA::S.94	535	0	0	2152	0	0	2189	0	0	0	0	10174
Lung-AdenoCA::S.95	580	2873	0	10357	0	0	0	0	0	0	0	7138
Lung-AdenoCA::S.96	238	0	0	50979	4016	0	0	0	0	0	0	0
Lung-AdenoCA::S.97	1002	0	0	0	23426	0	7345	0	0	0	0	0
Lung-AdenoCA::S.98	403	0	0	0	6293	0	0	0	0	0	0	0
Lung-AdenoCA::S.99	292	0	0	27750	714	0	0	0	0	0	0	0
Lung-AdenoCA::S.100	12	2158	0	0	23490	0	0	0	5117	0	0	0
