Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Ovary-AdenoCA::S.1	6517	0.976	1219.289	18.709%	169.912	21.809%	0.02932	0.909
Ovary-AdenoCA::S.2	7932	0.976	1538.303	19.394%	229.416	21.822%	0.03176	0.94
Ovary-AdenoCA::S.3	5280	0.981	991.963	18.787%	141.375	19.372%	0.02785	0.958
Ovary-AdenoCA::S.4	5218	0.99	721.258	13.822%	102.635	14.345%	0.0185	0.977
Ovary-AdenoCA::S.5	14711	0.978	2439.918	16.586%	359.803	20.813%	0.02277	0.908
Ovary-AdenoCA::S.6	9814	0.964	2059.089	20.981%	316.37	26.714%	0.03868	0.868
Ovary-AdenoCA::S.7	5445	0.979	969.646	17.808%	136.599	20.305%	0.02665	0.934
Ovary-AdenoCA::S.8	6204	0.977	1176.142	18.958%	163.053	21.124%	0.02786	0.929
Ovary-AdenoCA::S.9	7085	0.992	868.888	12.264%	115.382	12.946%	0.01279	0.975
Ovary-AdenoCA::S.10	7922	0.975	1813.403	22.891%	279.118	23.22%	0.04402	0.956
Ovary-AdenoCA::S.11	10980	0.983	1737.959	15.828%	236.215	18.403%	0.0205	0.926
Ovary-AdenoCA::S.12	3808	0.97	807.229	21.198%	116.41	24.441%	0.03788	0.906
Ovary-AdenoCA::S.13	9824	0.985	1711.265	17.419%	234.811	17.584%	0.02487	0.968
Ovary-AdenoCA::S.14	6443	0.986	922.523	14.318%	128.553	16.432%	0.01634	0.953
Ovary-AdenoCA::S.15	9623	0.982	1565.582	16.269%	216.901	19.184%	0.0225	0.934
Ovary-AdenoCA::S.16	3442	0.965	891.571	25.903%	140.271	27.212%	0.05635	0.938
Ovary-AdenoCA::S.17	5011	0.981	929.841	18.556%	125.578	19.308%	0.02759	0.95
Ovary-AdenoCA::S.18	4606	0.969	1055.038	22.906%	167.558	24.752%	0.04961	0.939
Ovary-AdenoCA::S.19	9042	0.98	1629.985	18.027%	220.863	20.166%	0.02424	0.928
Ovary-AdenoCA::S.20	5668	0.977	1100.451	19.415%	165.248	22.317%	0.03332	0.948
Ovary-AdenoCA::S.21	14729	0.981	2436.842	16.545%	337.619	19.673%	0.02491	0.914
Ovary-AdenoCA::S.22	16532	0.982	2619.266	15.844%	367.892	18.803%	0.02042	0.929
Ovary-AdenoCA::S.23	8244	0.984	1307.771	15.863%	179.721	17.735%	0.02014	0.948
Ovary-AdenoCA::S.24	7805	0.983	1299.288	16.647%	181.794	18.137%	0.02294	0.955
Ovary-AdenoCA::S.25	6908	0.975	1363.363	19.736%	182.836	22.714%	0.03798	0.906
Ovary-AdenoCA::S.26	9888	0.985	1617.365	16.357%	213.982	17.081%	0.02291	0.958
Ovary-AdenoCA::S.27	9189	0.979	1642.569	17.875%	232.523	20.446%	0.02543	0.934
Ovary-AdenoCA::S.28	13469	0.989	1609.508	11.95%	224.376	14.526%	0.0117	0.949
Ovary-AdenoCA::S.29	4501	0.982	830.022	18.441%	111.87	19.154%	0.02888	0.951
Ovary-AdenoCA::S.30	8781	0.982	1339.104	15.25%	195.457	18.785%	0.01905	0.931
Ovary-AdenoCA::S.31	4605	0.988	677.703	14.717%	95.488	15.388%	0.02024	0.972
Ovary-AdenoCA::S.32	14396	0.986	2187.309	15.194%	311.353	16.543%	0.01785	0.965
Ovary-AdenoCA::S.33	6581	0.976	1271.977	19.328%	175.232	21.81%	0.0302	0.918
Ovary-AdenoCA::S.34	18293	0.98	2770.241	15.144%	427.093	20.079%	0.01942	0.909
Ovary-AdenoCA::S.35	6983	0.988	1000.483	14.327%	139.987	15.636%	0.01592	0.966
Ovary-AdenoCA::S.36	2470	0.987	452.038	18.301%	73.588	15.912%	0.03259	0.982
Ovary-AdenoCA::S.37	9297	0.98	1769.841	19.037%	238.166	19.801%	0.02731	0.947
Ovary-AdenoCA::S.38	6441	0.977	1184.757	18.394%	166.837	21.327%	0.02864	0.919
Ovary-AdenoCA::S.39	1419	0.992	287.007	20.226%	49.691	12.239%	0.04452	0.991
Ovary-AdenoCA::S.40	13125	0.979	2208.726	16.828%	319.567	20.199%	0.02288	0.926
Ovary-AdenoCA::S.41	9340	0.99	1227.674	13.144%	168.994	14.353%	0.01299	0.97
Ovary-AdenoCA::S.42	4269	0.979	754.602	17.676%	109.117	20.325%	0.02466	0.938
Ovary-AdenoCA::S.43	5989	0.98	987.263	16.485%	155.658	19.692%	0.02189	0.951
Ovary-AdenoCA::S.44	14110	0.98	2431.737	17.234%	338.419	20.151%	0.02552	0.921
Ovary-AdenoCA::S.45	7806	0.983	1203.711	15.42%	179.859	18.312%	0.02312	0.95
Ovary-AdenoCA::S.46	3566	0.969	763.507	21.411%	109.032	24.571%	0.03714	0.903
Ovary-AdenoCA::S.47	6526	0.974	1318.43	20.203%	206.927	24.59%	0.03822	0.942
Ovary-AdenoCA::S.48	16139	0.975	2788.079	17.275%	417.959	22.037%	0.02554	0.896
Ovary-AdenoCA::S.49	16120	0.986	2080.118	12.904%	320.936	16.801%	0.01382	0.944
Ovary-AdenoCA::S.50	4890	0.989	897.15	18.347%	155.878	15.663%	0.035	0.986
Ovary-AdenoCA::S.51	14145	0.971	2887.058	20.41%	403.011	23.782%	0.03294	0.892
