Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS13	SBS17a	SBS17b	SBS38	SBS40
Skin-Melanoma::S.1	0	0	377	0	7422	791	0	0	0	0	0	0
Skin-Melanoma::S.2	470	0	3846	10197	3620	6968	0	0	0	0	0	0
Skin-Melanoma::S.3	0	0	0	54558	0	0	0	0	0	0	0	0
Skin-Melanoma::S.4	0	0	0	206894	0	0	0	0	0	0	0	0
Skin-Melanoma::S.5	449	0	0	53247	20155	0	0	0	0	10038	0	0
Skin-Melanoma::S.6	3097	0	0	165346	53844	0	0	0	0	0	0	0
Skin-Melanoma::S.7	0	0	0	131097	0	0	0	0	0	0	0	0
Skin-Melanoma::S.8	1215	40313	0	178880	64986	14161	0	0	0	0	0	0
Skin-Melanoma::S.9	89	0	0	1500	15610	8110	6044	0	0	0	0	0
Skin-Melanoma::S.10	0	0	0	78256	24021	0	0	0	0	0	0	0
Skin-Melanoma::S.11	264	0	9545	12926	4503	0	0	0	0	0	0	0
Skin-Melanoma::S.12	0	0	16693	0	52678	3869	0	0	0	0	0	0
Skin-Melanoma::S.13	477	0	0	33488	11975	0	5680	0	0	0	0	0
Skin-Melanoma::S.14	0	0	0	126546	0	0	21185	0	0	0	0	0
Skin-Melanoma::S.15	1125	0	4745	59504	15450	0	6405	0	0	0	0	0
Skin-Melanoma::S.16	213	2209	5091	10003	4282	0	2529	0	0	0	0	0
Skin-Melanoma::S.17	283	0	0	22273	0	0	0	0	0	0	0	0
Skin-Melanoma::S.18	0	0	6972	38953	0	0	0	0	0	0	0	0
Skin-Melanoma::S.19	0	0	4923	1783	0	8837	0	0	0	0	0	0
Skin-Melanoma::S.20	13	0	1429	2417	14263	5183	3831	0	0	0	0	0
Skin-Melanoma::S.21	0	0	0	40883	23564	8339	0	0	0	0	0	0
Skin-Melanoma::S.22	1125	0	0	164119	0	0	0	0	0	0	0	0
Skin-Melanoma::S.23	0	0	0	3273	16041	0	3955	0	0	0	0	0
Skin-Melanoma::S.24	362	0	2398	6210	12818	0	2960	0	0	0	0	0
Skin-Melanoma::S.25	209	0	162	0	30400	2907	2051	0	0	0	0	0
Skin-Melanoma::S.26	326	0	11224	22420	50309	0	0	0	0	0	0	0
Skin-Melanoma::S.27	178	0	3041	16555	2009	8719	0	0	0	0	0	0
Skin-Melanoma::S.28	145	0	7999	0	30023	10733	3434	0	0	0	0	0
Skin-Melanoma::S.29	638	0	0	51612	0	17119	0	0	0	0	0	0
Skin-Melanoma::S.30	0	0	0	0	183571	0	0	0	0	0	0	0
Skin-Melanoma::S.31	604	0	0	0	0	0	2461	514	0	0	0	2911
Skin-Melanoma::S.32	0	0	14729	1586	0	2271	19574	0	0	0	0	0
Skin-Melanoma::S.33	0	0	0	112289	14424	0	0	0	0	0	0	0
Skin-Melanoma::S.34	177	0	0	3425	27875	0	0	0	0	0	0	0
Skin-Melanoma::S.35	250	0	17688	56076	0	0	0	0	0	0	0	0
Skin-Melanoma::S.36	0	9176	0	33362	7491	10309	0	0	0	0	0	0
Skin-Melanoma::S.37	0	0	2630	0	2941	1057	3294	0	0	0	0	3490
Skin-Melanoma::S.38	927	0	0	40291	15732	19292	0	0	0	0	0	0
Skin-Melanoma::S.39	1874	0	646	89464	0	17018	6649	0	0	0	0	0
Skin-Melanoma::S.40	0	0	0	12742	56314	0	0	0	0	0	0	0
Skin-Melanoma::S.41	0	0	0	109050	0	0	0	0	0	0	0	0
Skin-Melanoma::S.42	1190	0	0	34360	55333	0	5390	0	0	0	0	0
Skin-Melanoma::S.43	126	0	2355	0	432	7528	0	0	0	0	0	4287
Skin-Melanoma::S.44	1138	0	0	124024	19906	0	0	0	0	0	0	0
Skin-Melanoma::S.45	582	0	0	212293	65844	0	0	0	0	0	0	0
Skin-Melanoma::S.46	267	0	0	8521	55715	0	0	0	0	0	0	0
Skin-Melanoma::S.47	1924	0	0	84372	34806	14739	0	0	0	0	0	0
Skin-Melanoma::S.48	0	0	11850	30999	15349	8342	0	0	0	0	0	0
Skin-Melanoma::S.49	467	0	0	28635	0	0	0	0	0	0	3859	16670
Skin-Melanoma::S.50	136	0	0	9380	4580	6296	3134	0	0	0	0	0
Skin-Melanoma::S.51	835	0	0	115884	109765	0	0	0	0	0	0	0
Skin-Melanoma::S.52	939	0	0	40159	85146	0	8669	0	0	0	0	0
Skin-Melanoma::S.53	0	24162	0	49142	84154	0	0	0	0	0	0	0
Skin-Melanoma::S.54	388	0	0	0	41996	0	3100	0	0	0	0	0
Skin-Melanoma::S.55	0	0	0	289190	0	0	0	0	0	0	0	0
Skin-Melanoma::S.56	0	0	0	56500	0	0	2992	0	0	0	0	0
Skin-Melanoma::S.57	728	0	0	41873	16195	0	4707	0	0	0	0	0
Skin-Melanoma::S.58	678	0	0	191829	24905	0	0	0	0	0	0	0
Skin-Melanoma::S.59	2368	51984	15700	232373	0	0	0	0	0	0	0	0
Skin-Melanoma::S.60	0	0	0	68708	15787	0	0	0	0	0	0	0
Skin-Melanoma::S.61	0	0	0	74927	48363	0	0	0	0	0	0	0
Skin-Melanoma::S.62	68	0	0	64152	0	11950	5438	0	0	0	0	0
Skin-Melanoma::S.63	0	0	0	68775	0	9971	0	0	0	0	0	0
Skin-Melanoma::S.64	0	0	0	77379	48080	17717	0	0	0	0	0	0
Skin-Melanoma::S.65	703	0	0	53278	5573	5498	0	0	0	0	0	0
Skin-Melanoma::S.66	1755	0	0	83699	14644	10686	0	0	0	0	0	0
Skin-Melanoma::S.67	872	138	1288	0	0	0	1836	530	0	0	0	2541
Skin-Melanoma::S.68	308	0	7670	0	13736	0	0	0	0	0	0	0
