Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Skin-Melanoma::S.1	8590	0.97	1882.413	21.914%	689.406	24.623%	0.04154	0.966
Skin-Melanoma::S.2	25101	0.997	2616.556	10.424%	481.283	7.522%	0.01156	0.997
Skin-Melanoma::S.3	54558	0.99	12247.777	22.449%	3319.869	14.16%	0.25001	0.99
Skin-Melanoma::S.4	206894	0.993	28254.667	13.657%	11186.299	12.219%	0.04082	0.992
Skin-Melanoma::S.5	83889	0.993	12055.894	14.371%	3545.646	12.499%	0.02962	0.993
Skin-Melanoma::S.6	222287	0.989	46905.109	21.101%	13340.0	14.863%	0.04987	0.988
Skin-Melanoma::S.7	131097	0.994	25236.371	19.25%	7266.447	11.995%	0.14193	0.993
Skin-Melanoma::S.8	299555	0.999	19401.061	6.477%	5509.018	4.818%	0.00972	0.999
Skin-Melanoma::S.9	31353	0.985	5553.935	17.714%	1323.491	17.21%	0.03437	0.982
Skin-Melanoma::S.10	102277	0.99	18696.142	18.28%	5824.376	13.919%	0.05678	0.99
Skin-Melanoma::S.11	27238	0.987	4751.36	17.444%	1200.958	16.207%	0.02664	0.985
Skin-Melanoma::S.12	73240	0.987	11739.463	16.029%	3223.805	16.281%	0.02687	0.984
Skin-Melanoma::S.13	51620	0.987	11328.704	21.946%	2951.323	16.513%	0.07427	0.986
Skin-Melanoma::S.14	147731	0.992	33583.622	22.733%	8178.905	15.754%	0.10336	0.992
Skin-Melanoma::S.15	87229	0.994	12041.404	13.804%	3358.902	10.803%	0.01671	0.994
Skin-Melanoma::S.16	24327	0.994	3606.788	14.826%	781.126	11.424%	0.04635	0.993
Skin-Melanoma::S.17	22556	0.988	4227.361	18.742%	1553.65	15.401%	0.06862	0.988
Skin-Melanoma::S.18	45925	0.995	6073.406	13.225%	1757.157	10.009%	0.02128	0.995
Skin-Melanoma::S.19	15543	0.994	2311.198	14.87%	360.323	11.346%	0.0253	0.992
