Sample.ID,Tool,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22a,SBS22b,SBS24,SBS26,SBS28,SBS29,SBS30,SBS31,SBS35,SBS37,SBS38,SBS39,SBS40,SBS40a,SBS40b,SBS40c,SBS41,SBS44
Breast-AdenoCA::S.1,deconstruct,550.951678564713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3712.3049168222,0,0,0,0,0,719.84045700785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.65888288963,0,0,0,0,0
Breast-AdenoCA::S.2,deconstruct,0,0,5873.13317197713,0,2630.09446304631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.3,deconstruct,281.878429737061,396.039941411077,0,0,473.137389277571,0,0,0,0,0,0,0,0,0,0,839.405985955009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.797825214509,0,0,0,0,0
Breast-AdenoCA::S.4,deconstruct,0,825.205326638851,5158.08905367534,0,1529.36458215883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.5,deconstruct,411.158113474698,0,0,0,2440.37947891793,0,0,0,0,0,0,0,0,0,0,1275.85151181646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.578469311923,0,0,0,0,0
Breast-AdenoCA::S.6,deconstruct,0,4932.58735385383,2360.07075387541,0,0,0,0,0,0,0,0,0,0,0,0,1462.77964405123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3429.75819666496,0,0,0,0,0
Breast-AdenoCA::S.7,deconstruct,284.18148913276,251.617971580517,205.274414599901,0,2347.10527212809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.8,deconstruct,695.296123387133,505.114764860563,1729.65281580757,0,1307.47495248776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast-AdenoCA::S.9,deconstruct,0,0,3432.3206599974,0,2993.30253384166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4795.59327290891,0,0,0,0,0
Breast-AdenoCA::S.10,deconstruct,0,720.789984516106,2765.52376983998,0,1512.83637849093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
