"size","median_cosine","abs_median_cosine_minus_0.985"
"size_1",0.834147405304704,0.150852594695296
"size_2",0.900403957635643,0.0845960423643569
"size_3",0.931835312289422,0.0531646877105778
"size_4",0.944832564610497,0.040167435389503
"size_5",0.955889800605177,0.0291101993948232
"size_6",0.962486330239029,0.0225136697609708
"size_7",0.966957177189367,0.0180428228106332
"size_8",0.970627397597742,0.014372602402258
"size_9",0.972243577866884,0.0127564221331157
"size_10",0.975939237812563,0.0090607621874369
"size_11",0.977603662890257,0.00739633710974308
"size_12",0.979262651361322,0.00573734863867847
"size_13",0.9804681586647,0.00453184133530027
"size_14",0.982014635927967,0.00298536407203254
"size_15",0.982911072636134,0.00208892736386557
"size_16",0.983723125255138,0.0012768747448616
"size_17",0.984166939685116,0.000833060314883616
"size_18",0.985175844273176,0.000175844273175962
"size_19",0.985586586214569,0.000586586214568974
"size_20",0.986058278683847,0.00105827868384734
"size_21",0.987198050397233,0.00219805039723264
"size_22",0.987422829487185,0.00242282948718497
"size_23",0.988104480480784,0.00310448048078371
"size_24",0.988321890151655,0.00332189015165485
"size_25",0.988163328148488,0.00316332814848785
"size_26",0.988714271449861,0.00371427144986114
"size_27",0.989286261226837,0.00428626122683717
"size_28",0.989704817485515,0.00470481748551499
"size_29",0.990027752317724,0.00502775231772401
"size_30",0.990239999096407,0.00523999909640704
"size_31",0.990816069837123,0.00581606983712279
"size_32",0.990638540682641,0.0056385406826408
"size_33",0.990993545899844,0.00599354589984402
"size_34",0.991254647115509,0.00625464711550894
"size_35",0.991439221090536,0.0064392210905363
"size_36",0.991786372828548,0.00678637282854788
"size_37",0.991886588461951,0.00688658846195067
"size_38",0.991581844063323,0.00658184406332285
"size_39",0.992032602510862,0.00703260251086235
"size_40",0.992149630913417,0.00714963091341658
"size_41",0.992546978624924,0.00754697862492415
"size_42",0.992728968562503,0.00772896856250271
"size_43",0.992701329768111,0.00770132976811111
"size_44",0.992809727371493,0.00780972737149255
"size_45",0.993057833687542,0.00805783368754176
"size_46",0.992875896158712,0.00787589615871231
"size_47",0.993196463020637,0.00819646302063737
"size_48",0.993279840204947,0.00827984020494654
"size_49",0.993261674642959,0.00826167464295913
"size_50",0.993259921601039,0.00825992160103906
"size_51",0.993547888178695,0.00854788817869512
"size_52",0.993544403213804,0.0085444032138039
"size_53",0.993645280621537,0.00864528062153702
"size_54",0.993598784593266,0.00859878459326624
"size_55",0.99368107258116,0.0086810725811598
"size_56",0.993791862609644,0.00879186260964382
"size_57",0.994001995185711,0.00900199518571054
"size_58",0.994169190114969,0.00916919011496897
"size_59",0.994058434969401,0.00905843496940151
"size_60",0.994227166328286,0.00922716632828602
"size_61",0.994345264255195,0.00934526425519489
"size_62",0.994319837359726,0.00931983735972597
"size_63",0.994387124947551,0.00938712494755112
"size_64",0.994516662926077,0.009516662926077
"size_65",0.994567193764801,0.00956719376480131
"size_66",0.994711477233509,0.00971147723350885
"size_67",0.994665047858655,0.00966504785865463
"size_68",0.994666449978528,0.00966644997852806
"size_69",0.994912396191545,0.00991239619154516
"size_70",0.994801425466443,0.00980142546644325
"size_71",0.994880817028442,0.00988081702844179
"size_72",0.995051807083551,0.0100518070835515
"size_73",0.995042289502853,0.0100422895028529
"size_74",0.995065493386141,0.0100654933861413
"size_75",0.995155553874511,0.0101555538745109
"size_76",0.995229563344197,0.0102295633441968
"size_77",0.995306371138354,0.0103063711383543
"size_78",0.995312183781473,0.0103121837814726
"size_79",0.99532020924395,0.0103202092439502
"size_80",0.995469272975135,0.0104692729751351
"size_81",0.995383348376689,0.0103833483766894
"size_82",0.995382760532023,0.010382760532023
"size_83",0.995299869280817,0.0102998692808171
"size_84",0.995455271463626,0.0104552714636265
"size_85",0.99548260991474,0.0104826099147398
"size_86",0.99554618474149,0.0105461847414899
"size_87",0.995534131141693,0.0105341311416931
"size_88",0.995443543637025,0.0104435436370248
"size_89",0.995605745143484,0.0106057451434839
"size_90",0.995578757563813,0.0105787575638131
"size_91",0.995685410512475,0.0106854105124745
"size_92",0.995790653800771,0.0107906538007715
"size_93",0.995981613619662,0.0109816136196618
"size_94",0.995846800473998,0.0108468004739982
"size_95",0.995779566747124,0.0107795667471243
"size_96",0.99577899419509,0.01077899419509
"size_97",0.99596429828727,0.0109642982872696
"size_98",0.995945904011053,0.0109459040110526
"size_99",0.995872869563986,0.0108728695639861
"size_100",0.995878551002572,0.0108785510025725
